# Specific emission factors per fuel type and country,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Manually scraped from the supplementary material of Tranberg.2019 (https://doi.org/10.1016/j.esr.2019.100367),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energy_type,AT,BE,BG,CZ,DE,DK,EE,ES,EU28,FI,FR,GB,GR,HU,IE,IT,LT,LV,ME,NL,NO,PL,PT,RO,RS,SE,SI,SK
high-voltage_mix,5.48,3.1,19.4,2.39,4.49,7.41,3.64,5.23,4.04,3.16,3.02,1.18,3.6,2.63,4.17,6.18,6.17,3.8,4.04,2.4,6.55,2.82,6.66,5.42,3.36,4.41,2.32,2.56
wind,17.6,16.1,19.4,19.2,19.8,13.7,19.6,14,16.7,22.8,15.5,16.7,15,13.5,13.6,19.5,13.2,18,16.7,16.2,14.2,16.4,13.6,25.2,16.7,16.1,16.7,16.7
nuclear,2.1,1.93,1.93,1.93,1.89,2.1,2.1,1.95,2.1,1.99,2.27,2.1,2.1,1.93,2.1,2.1,2.1,2.1,2.1,1.93,2.1,2.1,2.1,1.86,2.1,1.96,1.93,1.93
geothermal,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8
biomass_cogeneration,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
hydropower_pumped_storage,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52
hydropower_reservoir,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52
hydropower_run-of-river,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39
coal,1.37,1.58,2.41,2.46,2.13,1.96,2.34,1.69,1.96,1.87,1.58,1.55,2.38,3.01,1.84,1.57,2.4,1.96,1.96,1.46,1.96,1.96,1.56,2.45,2.82,2.4,2.59,1.96
coal_cogeneration,1.17,1.82,1.82,1.66,1.34,1.43,1.82,1.82,1.82,1.2,1.82,1.82,2.37,2.35,1.82,1.42,1.82,1.82,1.82,1.58,1.25,1.87,1.82,2.25,2.25,1.02,2.24,1.96
gas,0.916,0.927,0.469,0.559,0.818,0.721,0.721,1.15,0.721,1.82,1.25,0.354,1.08,0.962,0.88,0.964,0.721,0.721,0.721,0.809,0.704,0.721,1.15,0.386,0.721,0.721,0.688,0.878
gas_cogeneration,2.3,2.48,4.96,4.35,4.31,3.35,4,5.69,3.19,2.56,3.79,3.19,5.69,2.85,5.69,2.78,3.37,3.02,3.19,1.89,2.32,1.88,3.19,3.57,4.31,3.71,3.91,2.54
oil,2.64,2.08,3.75,2.39,1.99,2.76,2.65,1.94,2.27,1.02,2.14,2.97,2.19,2.6,2.06,2.32,2.27,2.27,2.27,2.27,2.27,2.27,1.89,2.24,2.27,1.95,3.12,2.16
oil_cogeneration,2.19,1.94,2.17,3.42,1.54,2.15,1.96,2.08,2.08,2.18,1.73,2.08,2.37,1.96,2.08,1.98,3.42,2.08,2.08,2.53,2.08,1.98,1.39,2.89,2.08,1.91,1.96,3.14
low-voltage-mix,4.54,2.99,6.18,7.71,13.8,2.97,2.95,6.76,6.41,2.99,3.66,2.96,21.1,2.95,2.96,13,4.02,2.97,2.91,3.01,2.97,2.97,3.68,5.88,2.93,3.03,3.03,3.44
solar,107,112,77.9,118,110,94.6,94.6,71.4,94.6,94.6,90.9,94.6,76.3,94.6,94.6,81.3,109,94.6,94.6,109,94.6,94.6,69.2,88.1,82.7,110,83,90.7
